name,chineseName,code,id,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Belgium,比利时,BEL,056,11658722590.99,12400145221.595,13264015675.3193,1.11254045194595e-308,1.11254087192381e-308,1.11254122057381e-308,1.11254153688103e-308,1.11254186794387e-308,1.11254220991445e-308,1.11254278658362e-308,1.1125435265606e-308,1.11254429618292e-308,1.11254612120117e-308,1.11254872353966e-308,1.11255077126301e-308,1.11255315392206e-308,1.11255449671686e-308,1.1125573934293e-308,1.11256194046878e-308,1.11256566298924e-308,1.11256826025716e-308,1.11256280100571e-308,1.11255967997023e-308,1.11255846662229e-308,1.11255751932333e-308,1.11255824034642e-308,1.11256657783342e-308,149394404105.889,162299103675.261,164221056511.057,205331747947.851,210510999409.333,234781652446.675,224721795708.955,244884129491.198,288025588396.278,279201433224.756,252708051420.839,258528339631.029,258158533986.789,236204532891.1,236541297539.15,257157820440.429,317381715575.621,368537000248.324,385570948886.954,407918078032.869,470324254037.777,515223524241.98,481345929424.84,480951629493.033,522645519183.591,496181260258.3,521642714407.843,534678075827.361,462149679343.822,475739588764.759,501522868356.441,543008499294.079,535288715239.999,521861292586.616
Belize,伯利兹,BLZ,084,28071888.5622288,29964370.7125857,31856922.8615428,1.11253693759081e-308,1.11253693819466e-308,1.11253693915219e-308,1.11253694022324e-308,1.11253694095785e-308,1.11253694034789e-308,1.11253694093958e-308,1.11253694240403e-308,1.11253694387975e-308,1.11253694557321e-308,1.11253694860703e-308,1.11253695475143e-308,1.11253695841985e-308,1.11253695319252e-308,1.11253695831701e-308,1.11253696292417e-308,1.11253696675318e-308,1.11253697815084e-308,1.11253697769423e-308,1.11253697426454e-308,1.11253697670939e-308,1.11253698221298e-308,1.11253698178358e-308,1.11253698647587e-308,281082558.5859,320093360.27245,369133890.704745,412086445.492176,444720750,518559700,560205300,581269550,620422500,641660000,654582900,689140000,732732350,832072450,868358750,925197950,983575600,1051386600,1102564900,1210603750,1271598050,1351338650,1317309450,1377177100,1460797903.23406,1522897506.07849,1579411253.00514,1667335060.96064,1721700991.46912,1789304087.78561,1858529676.71857,1915899786.96407,1982518540.6134,1636280797.08056
Benin,贝宁,BEN,204,226195579.35701,235668222.429984,236434906.75427,1.11253699198206e-308,1.11253699590775e-308,1.11253700087057e-308,1.11253700408609e-308,1.11253700490049e-308,1.11253700986612e-308,1.11253701095927e-308,1.11253701167061e-308,1.11253701202762e-308,1.11253703061905e-308,1.11253705385104e-308,1.11253706627154e-308,1.11253709646274e-308,1.11253710178336e-308,1.11253711454051e-308,1.11253715870838e-308,1.11253722229166e-308,1.11253727639686e-308,1.11253724820261e-308,1.1125372424365e-308,1.11253719984058e-308,1.11253718891818e-308,1.11253718757896e-308,1.11253725931466e-308,1562412030.34838,1620246187.15171,1502294411.46202,1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,3677394291.51516,3519991326.48464,3666222600.09828,4194342849.46574,5349258334.31914,6190270756.13743,6567654493.50831,7034111651.4964,8169048690.05254,9787735426.00897,9738626993.27696,9535344283.47295,10693321953.6355,11141358945.1349,12517845732.2095,13284528654.0574,11388160958.249,11821066152.5979,12701654743.2149,14262407011.5254,14391686632.7821,15651545331.5404
Bermuda,百慕大,BMU,060,84466654.0769119,89249986.6972895,94149985.9669446,1.11253695305933e-308,1.11253695582609e-308,1.1125369574991e-308,1.11253696239883e-308,1.11253696756913e-308,1.11253696630852e-308,1.11253696998931e-308,1.11253697527582e-308,1.11253698140223e-308,1.11253698740513e-308,1.11253699582895e-308,1.11253700647606e-308,1.11253701447992e-308,1.11253702468238e-308,1.11253703967727e-308,1.11253704679182e-308,1.11253705701898e-308,1.11253708075882e-308,1.11253711183557e-308,1.11253712329789e-308,1.11253714896459e-308,1.11253717275385e-308,1.11253718604423e-308,1.11253721914663e-308,1296499968,1415100032,1501500032,1592400000,1634900000,1679900000,1820359900,1867160100,2030750000,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6.144e+09,6.767e+09,6.98e+09,6.656e+09,6634526000,6312691000,6378188000,6465756000,6413988000,6654541000,6899911000,7142316000,7224329000,7484113000,6842700000
Bhutan,不丹,BTN,064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11253696105103e-308,1.11253696362833e-308,1.11253696417577e-308,1.11253696796048e-308,1.11253696889248e-308,1.11253696958722e-308,1.11253697649387e-308,242770861.580343,272241005.231459,264725206.950873,287658184.003989,240319995.602463,240215763.888889,225998091.177435,258985597.704814,290464801.110083,303435517.922664,352260952.905536,363452787.203102,399268801.672085,424464089.897641,461444513.66815,520849551.532606,604041957.921855,682523857.01677,796938120.181406,874989895.601121,1168308516.63301,1227808790.6733,1234014291.82342,1547991317.81183,1777101316.67756,1781281281.57912,1756215665.09323,1907090813.45906,2003598212.99135,2158972129.00307,2450364928.07302,2446866404.93058,2535657068.96575,2315437338.08809
Bolivia (Plurinational State of),玻利维亚,BOL,068,373879363.595386,406684585.719294,444665186.397102,1.1125370475344e-308,1.1125370625257e-308,1.11253707855458e-308,1.11253709456597e-308,1.112537115963e-308,1.11253714118614e-308,1.11253715890263e-308,1.11253718048681e-308,1.11253719990842e-308,1.11253723992594e-308,1.11253724124828e-308,1.11253744808426e-308,1.11253752329285e-308,1.11253760414332e-308,1.1125377265363e-308,1.11253785765752e-308,1.11253802147059e-308,1.11253804755064e-308,1.11253838001732e-308,1.11253830954709e-308,1.1125382687745e-308,1.11253845332286e-308,1.11253825761762e-308,1.11253790709323e-308,4323623622.1622,4597615562.66594,4715978868.21613,4867582620.20708,5343274311.56789,5643893347.00679,5734676560.92471,5981244886.917,6715220507.05164,7396966657.47054,7925673448.41368,8497545598.08352,8285075872.27307,8397912509.09679,8141537937.61068,7905485216.17852,8082364868.39357,8773451738.91129,9549077869.10651,11451869164.7112,13120183156.7149,16674324634.2373,17339992165.2422,19649631314.0482,23963033430.5954,27084497482.8616,30659338880.3786,32996188012.6821,33000198248.3362,33941126200.0606,37508642165.3366,40287647930.4761,40895322843.7851,36572764862.8234
"Bonaire, Sint Eustatius and Saba",荷兰加勒比区,BES,535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,波黑,BIH,070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1255802469.1358,1866572953.73665,2786045321.63743,3671816504.23851,4116699437.4041,4685733115.46841,5567405599.31206,5800774717.40538,6728771313.86805,8498560902.29181,10157553968.1525,11222953335.3385,12864610862.5901,15778767410.8109,19112739397.886,17613836526.6393,17176781045.5967,18644723853.5807,17221192466.1918,18172335776.3301,18560861388.6402,16219819017.3607,16914287348.9819,18079075770.6713,20177409351.4329,20201323260.0733,19946496562.9733
Botswana,博茨瓦纳,BWA,072,30412308.9864012,32902336.644746,35643207.6265246,1.11253693866337e-308,1.11253693953362e-308,1.11253694056545e-308,1.11253694196701e-308,1.1125369437412e-308,1.11253694561909e-308,1.1125369483633e-308,1.1125369530293e-308,1.11253696073954e-308,1.11253696988232e-308,1.1125369895615e-308,1.11253700485401e-308,1.11253701699284e-308,1.11253702115231e-308,1.11253704081444e-308,1.11253707509603e-308,1.1125371317902e-308,1.11253719133661e-308,1.11253719453266e-308,1.112537179969e-308,1.11253721883985e-308,1.11253723577103e-308,1.1125372046369e-308,1.1125372732801e-308,1965274882.36345,2644536804.11244,3083800684.89751,3790567051.86778,3942792837.35655,4146513722.33019,4160086253.1468,4259330999.03151,4730611067.02258,4847752842.78924,5020214747.45261,4790458837.17078,5484257417.17844,5788329609.15755,5489608299.66445,5438857106.73536,7511582173.37724,8957467706.5354,9918907108.09702,10137883299.3156,10939053365.4786,10945070441.9283,10267133177.7334,12786654498.3514,15351972361.1477,14380004175.1194,14901750991.2012,15654660710.108,13578754072.4652,15082578064.8002,16088437675.1648,16914245098.0392,16593720655.6402,15061922801.6271
Bouvet Island,布韦岛,BVT,074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
